Driver,Team,LapTime,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,DriverPoints,TeamPoints,DriverAvgQualiPos,TeamAvgQualiPos,IsStreetCircuit,F1Era,CircuitCorners,TrackAirDiff,IsHighHumidity,DriverQualiPace,DriverSeasons,CircuitLength,TeamPointsContribution,Event,CircuitId,CarEngine
BOT,Mercedes,82.377,2019,23.2,69.4,1016.6,False,39.1,247.0,655.0,3.52,3.0,True,WideAero,14,15.9,False,-0.52,6,5.278,0.38,Q1,albert_park,Mercedes
BOT,Mercedes,82.367,2019,23.2,69.3,1016.7,False,39.1,247.0,655.0,3.52,3.0,True,WideAero,14,15.9,False,-0.52,6,5.278,0.38,Q1,albert_park,Mercedes
VET,Ferrari,83.891,2019,23.1,69.8,1016.6,False,38.9,320.0,571.0,2.62,3.24,True,WideAero,14,15.8,False,0.62,12,5.278,0.56,Q1,albert_park,Ferrari
VET,Ferrari,82.885,2019,23.2,69.4,1016.5,False,37.9,320.0,571.0,2.62,3.24,True,WideAero,14,14.7,False,0.62,12,5.278,0.56,Q1,albert_park,Ferrari
VER,Red Bull Racing,83.188,2019,23.1,69.5,1016.7,False,37.8,249.0,419.0,6.57,6.88,True,WideAero,14,14.7,False,0.31,4,5.278,0.59,Q1,albert_park,Honda
VER,Red Bull Racing,82.876,2019,23.2,68.5,1016.6,False,37.8,249.0,419.0,6.57,6.88,True,WideAero,14,14.6,False,0.31,4,5.278,0.59,Q1,albert_park,Honda
LEC,Ferrari,83.326,2019,23.2,69.4,1016.6,False,36.9,39.0,571.0,12.48,3.24,True,WideAero,14,13.7,False,-9.24,1,5.278,0.07,Q1,albert_park,Ferrari
LEC,Ferrari,83.638,2019,22.9,69.8,1016.6,False,36.4,39.0,571.0,12.48,3.24,True,WideAero,14,13.5,False,-9.24,1,5.278,0.07,Q1,albert_park,Ferrari
LEC,Ferrari,82.017,2019,23.0,70.4,1016.8,False,36.4,39.0,571.0,12.48,3.24,True,WideAero,14,13.4,True,-9.24,1,5.278,0.07,Q1,albert_park,Ferrari
GRO,Haas F1 Team,82.959,2019,23.2,70.8,1016.8,False,36.0,37.0,93.0,10.05,10.29,True,WideAero,14,12.8,True,0.24,8,5.278,0.4,Q1,albert_park,Ferrari
MAG,Haas F1 Team,83.625,2019,23.2,69.8,1016.8,False,36.0,56.0,93.0,10.52,10.29,True,WideAero,14,12.8,False,-0.23,4,5.278,0.6,Q1,albert_park,Ferrari
MAG,Haas F1 Team,82.519,2019,23.1,69.8,1016.8,False,35.6,56.0,93.0,10.52,10.29,True,WideAero,14,12.5,False,-0.23,4,5.278,0.6,Q1,albert_park,Ferrari
NOR,McLaren,84.654,2019,23.2,67.4,1016.8,False,35.2,0.0,62.0,0.0,15.07,True,WideAero,14,12.0,False,0.0,0,5.278,0.0,Q1,albert_park,Renault
NOR,McLaren,83.269,2019,23.0,68.5,1016.8,False,35.0,0.0,62.0,0.0,15.07,True,WideAero,14,12.0,False,0.0,0,5.278,0.0,Q1,albert_park,Renault
NOR,McLaren,82.702,2019,22.9,69.2,1016.8,False,34.3,0.0,62.0,0.0,15.07,True,WideAero,14,11.4,False,0.0,0,5.278,0.0,Q1,albert_park,Renault
RAI,Alfa Romeo Racing,83.432,2019,22.9,69.8,1016.7,False,39.1,251.0,0.0,3.86,0.0,True,WideAero,14,16.2,False,-3.86,16,5.278,0.5,Q1,albert_park,Ferrari
RAI,Alfa Romeo Racing,83.522,2019,22.9,70.0,1016.7,False,38.9,251.0,0.0,3.86,0.0,True,WideAero,14,16.0,False,-3.86,16,5.278,0.5,Q1,albert_park,Ferrari
RAI,Alfa Romeo Racing,82.966,2019,23.1,69.9,1016.7,False,38.7,251.0,0.0,3.86,0.0,True,WideAero,14,15.6,False,-3.86,16,5.278,0.5,Q1,albert_park,Ferrari
PER,Racing Point,82.942,2019,23.2,69.4,1016.6,False,39.1,62.0,111.0,11.43,10.69,True,WideAero,14,15.9,False,-0.74,8,5.278,0.56,Q1,albert_park,Mercedes
PER,Racing Point,82.908,2019,23.2,69.3,1016.7,False,39.1,62.0,111.0,11.43,10.69,True,WideAero,14,15.9,False,-0.74,8,5.278,0.56,Q1,albert_park,Mercedes
HUL,Renault,82.98,2019,23.1,69.8,1016.6,False,38.9,69.0,122.0,10.81,10.57,True,WideAero,14,15.8,False,-0.24,8,5.278,0.57,Q1,albert_park,Renault
HUL,Renault,82.54,2019,23.0,70.1,1016.5,False,38.6,69.0,122.0,10.81,10.57,True,WideAero,14,15.6,True,-0.24,8,5.278,0.57,Q1,albert_park,Renault
RIC,Renault,83.138,2019,23.1,68.8,1016.6,False,37.8,170.0,122.0,7.19,10.57,True,WideAero,14,14.7,False,3.38,8,5.278,1.39,Q1,albert_park,Renault
RIC,Renault,82.921,2019,23.2,68.5,1016.6,False,37.8,170.0,122.0,7.19,10.57,True,WideAero,14,14.6,False,3.38,8,5.278,1.39,Q1,albert_park,Renault
ALB,Toro Rosso,83.868,2019,23.2,68.6,1016.6,False,37.6,0.0,33.0,0.0,14.1,True,WideAero,14,14.4,False,0.0,0,5.278,0.0,Q1,albert_park,Honda
ALB,Toro Rosso,84.747,2019,23.2,69.4,1016.6,False,36.9,0.0,33.0,0.0,14.1,True,WideAero,14,13.7,False,0.0,0,5.278,0.0,Q1,albert_park,Honda
ALB,Toro Rosso,82.757,2019,23.0,70.3,1016.7,False,36.4,0.0,33.0,0.0,14.1,True,WideAero,14,13.4,True,0.0,0,5.278,0.0,Q1,albert_park,Honda
GIO,Alfa Romeo Racing,83.333,2019,23.0,70.4,1016.8,False,36.4,0.0,0.0,0.0,0.0,True,WideAero,14,13.4,True,0.0,1,5.278,0.5,Q1,albert_park,Ferrari
GIO,Alfa Romeo Racing,82.431,2019,23.2,70.8,1016.8,False,36.0,0.0,0.0,0.0,0.0,True,WideAero,14,12.8,True,0.0,1,5.278,0.5,Q1,albert_park,Ferrari
KVY,Toro Rosso,83.313,2019,23.2,70.1,1016.6,False,35.6,0.0,33.0,0.0,14.1,True,WideAero,14,12.4,True,0.0,4,5.278,0.0,Q1,albert_park,Honda
KVY,Toro Rosso,82.511,2019,23.1,69.8,1016.8,False,35.6,0.0,33.0,0.0,14.1,True,WideAero,14,12.5,False,0.0,4,5.278,0.0,Q1,albert_park,Honda
STR,Racing Point,83.691,2019,23.2,67.4,1016.8,False,35.2,6.0,111.0,17.33,10.69,True,WideAero,14,12.0,False,-6.64,2,5.278,0.05,Q1,albert_park,Mercedes
STR,Racing Point,83.017,2019,23.0,68.5,1016.8,False,35.0,6.0,111.0,17.33,10.69,True,WideAero,14,12.0,False,-6.64,2,5.278,0.05,Q1,albert_park,Mercedes
GAS,Red Bull Racing,83.02,2019,22.9,69.2,1016.8,False,34.3,29.0,419.0,12.9,6.88,True,WideAero,14,11.4,False,-6.02,2,5.278,0.07,Q1,albert_park,Honda
GAS,Red Bull Racing,83.589,2019,23.1,69.4,1016.7,False,39.4,29.0,419.0,12.9,6.88,True,WideAero,14,16.3,False,-6.02,2,5.278,0.07,Q1,albert_park,Honda
SAI,McLaren,83.557,2019,22.9,69.8,1016.7,False,39.1,53.0,62.0,10.33,15.07,True,WideAero,14,16.2,False,4.74,4,5.278,0.85,Q1,albert_park,Renault
SAI,McLaren,83.084,2019,22.9,70.0,1016.7,False,39.1,53.0,62.0,10.33,15.07,True,WideAero,14,16.2,False,4.74,4,5.278,0.85,Q1,albert_park,Renault
RUS,Williams,85.728,2019,23.0,70.0,1016.7,False,38.9,0.0,7.0,0.0,17.14,True,WideAero,14,15.9,False,0.0,0,5.278,0.0,Q1,albert_park,Mercedes
RUS,Williams,84.993,2019,23.1,69.9,1016.7,False,38.7,0.0,7.0,0.0,17.14,True,WideAero,14,15.6,False,0.0,0,5.278,0.0,Q1,albert_park,Mercedes
RUS,Williams,84.36,2019,23.2,69.4,1016.5,False,37.9,0.0,7.0,0.0,17.14,True,WideAero,14,14.7,False,0.0,0,5.278,0.0,Q1,albert_park,Mercedes
KUB,Williams,86.067,2019,23.1,69.5,1016.7,False,37.8,0.0,7.0,0.0,17.14,True,WideAero,14,14.7,False,0.0,5,5.278,0.0,Q1,albert_park,Mercedes
HAM,Mercedes,81.861,2019,23.2,68.6,1016.6,False,37.6,408.0,655.0,2.48,3.0,True,WideAero,14,14.4,False,0.52,12,5.278,0.62,Q2,albert_park,Mercedes
HAM,Mercedes,81.014,2019,23.2,69.4,1016.6,False,36.9,408.0,655.0,2.48,3.0,True,WideAero,14,13.7,False,0.52,12,5.278,0.62,Q2,albert_park,Mercedes
BOT,Mercedes,81.241,2019,23.0,70.3,1016.7,False,36.4,247.0,655.0,3.52,3.0,True,WideAero,14,13.4,True,-0.52,6,5.278,0.38,Q2,albert_park,Mercedes
BOT,Mercedes,81.193,2019,23.2,70.8,1016.8,False,36.0,247.0,655.0,3.52,3.0,True,WideAero,14,12.8,True,-0.52,6,5.278,0.38,Q2,albert_park,Mercedes
VET,Ferrari,81.912,2019,23.2,70.1,1016.6,False,35.6,320.0,571.0,2.62,3.24,True,WideAero,14,12.4,True,0.62,12,5.278,0.56,Q2,albert_park,Ferrari
VER,Red Bull Racing,81.712,2019,23.1,69.8,1016.8,False,35.6,249.0,419.0,6.57,6.88,True,WideAero,14,12.5,False,0.31,4,5.278,0.59,Q2,albert_park,Honda
VER,Red Bull Racing,81.678,2019,23.2,67.5,1016.8,False,35.2,249.0,419.0,6.57,6.88,True,WideAero,14,12.0,False,0.31,4,5.278,0.59,Q2,albert_park,Honda
LEC,Ferrari,81.739,2019,23.0,68.6,1016.8,False,34.5,39.0,571.0,12.48,3.24,True,WideAero,14,11.5,False,-9.24,1,5.278,0.07,Q2,albert_park,Ferrari
GRO,Haas F1 Team,82.906,2019,22.9,69.2,1016.8,False,34.3,37.0,93.0,10.05,10.29,True,WideAero,14,11.4,False,0.24,8,5.278,0.4,Q2,albert_park,Ferrari
GRO,Haas F1 Team,81.87,2019,22.9,70.0,1016.7,False,39.1,37.0,93.0,10.05,10.29,True,WideAero,14,16.2,False,0.24,8,5.278,0.4,Q2,albert_park,Ferrari
MAG,Haas F1 Team,82.519,2019,23.0,70.0,1016.7,False,38.9,56.0,93.0,10.52,10.29,True,WideAero,14,15.9,False,-0.23,4,5.278,0.6,Q2,albert_park,Ferrari
MAG,Haas F1 Team,82.221,2019,23.1,69.7,1016.6,False,38.7,56.0,93.0,10.52,10.29,True,WideAero,14,15.6,False,-0.23,4,5.278,0.6,Q2,albert_park,Ferrari
NOR,McLaren,83.377,2019,23.2,69.3,1016.7,False,39.1,0.0,62.0,0.0,15.07,True,WideAero,14,15.9,False,0.0,0,5.278,0.0,Q2,albert_park,Renault
NOR,McLaren,82.423,2019,23.2,69.7,1016.6,False,39.1,0.0,62.0,0.0,15.07,True,WideAero,14,15.9,False,0.0,0,5.278,0.0,Q2,albert_park,Renault
RAI,Alfa Romeo Racing,82.349,2019,23.2,68.5,1016.5,False,37.6,251.0,0.0,3.86,0.0,True,WideAero,14,14.4,False,-3.86,16,5.278,0.5,Q2,albert_park,Ferrari
RAI,Alfa Romeo Racing,82.491,2019,23.2,68.2,1016.5,False,37.5,251.0,0.0,3.86,0.0,True,WideAero,14,14.3,False,-3.86,16,5.278,0.5,Q2,albert_park,Ferrari
PER,Racing Point,82.651,2019,23.3,68.5,1016.6,False,37.1,62.0,111.0,11.43,10.69,True,WideAero,14,13.8,False,-0.74,8,5.278,0.56,Q2,albert_park,Mercedes
PER,Racing Point,82.532,2019,23.0,69.5,1016.6,False,36.9,62.0,111.0,11.43,10.69,True,WideAero,14,13.9,False,-0.74,8,5.278,0.56,Q2,albert_park,Mercedes
HUL,Renault,82.562,2019,23.0,70.3,1016.7,False,36.4,69.0,122.0,10.81,10.57,True,WideAero,14,13.4,True,-0.24,8,5.278,0.57,Q2,albert_park,Renault
RIC,Renault,82.593,2019,23.0,70.3,1016.7,False,36.6,170.0,122.0,7.19,10.57,True,WideAero,14,13.6,True,3.38,8,5.278,1.39,Q2,albert_park,Renault
RIC,Renault,82.57,2019,23.2,70.8,1016.8,False,36.0,170.0,122.0,7.19,10.57,True,WideAero,14,12.8,True,3.38,8,5.278,1.39,Q2,albert_park,Renault
ALB,Toro Rosso,82.993,2019,23.2,70.1,1016.6,False,35.6,0.0,33.0,0.0,14.1,True,WideAero,14,12.4,True,0.0,0,5.278,0.0,Q2,albert_park,Honda
ALB,Toro Rosso,82.636,2019,23.1,69.1,1016.7,False,35.5,0.0,33.0,0.0,14.1,True,WideAero,14,12.4,False,0.0,0,5.278,0.0,Q2,albert_park,Honda
GIO,Alfa Romeo Racing,83.185,2019,23.0,68.5,1016.8,False,35.0,0.0,0.0,0.0,0.0,True,WideAero,14,12.0,False,0.0,1,5.278,0.5,Q2,albert_park,Ferrari
GIO,Alfa Romeo Racing,82.714,2019,23.0,68.6,1016.8,False,34.5,0.0,0.0,0.0,0.0,True,WideAero,14,11.5,False,0.0,1,5.278,0.5,Q2,albert_park,Ferrari
KVY,Toro Rosso,82.95,2019,22.8,69.4,1016.8,False,34.3,0.0,33.0,0.0,14.1,True,WideAero,14,11.5,False,0.0,4,5.278,0.0,Q2,albert_park,Honda
KVY,Toro Rosso,82.774,2019,23.1,69.4,1016.7,False,39.4,0.0,33.0,0.0,14.1,True,WideAero,14,16.3,False,0.0,4,5.278,0.0,Q2,albert_park,Honda
HAM,Mercedes,81.055,2019,22.9,69.8,1016.7,False,39.1,408.0,655.0,2.48,3.0,True,WideAero,14,16.2,False,0.52,12,5.278,0.62,Q3,albert_park,Mercedes
HAM,Mercedes,80.486,2019,22.9,70.0,1016.7,False,39.1,408.0,655.0,2.48,3.0,True,WideAero,14,16.2,False,0.52,12,5.278,0.62,Q3,albert_park,Mercedes
BOT,Mercedes,80.598,2019,23.0,70.0,1016.7,False,38.9,247.0,655.0,3.52,3.0,True,WideAero,14,15.9,False,-0.52,6,5.278,0.38,Q3,albert_park,Mercedes
BOT,Mercedes,80.695,2019,23.1,69.7,1016.6,False,38.7,247.0,655.0,3.52,3.0,True,WideAero,14,15.6,False,-0.52,6,5.278,0.38,Q3,albert_park,Mercedes
VET,Ferrari,81.25,2019,23.0,70.1,1016.5,False,38.6,320.0,571.0,2.62,3.24,True,WideAero,14,15.6,True,0.62,12,5.278,0.56,Q3,albert_park,Ferrari
VET,Ferrari,81.19,2019,23.0,70.4,1016.6,False,38.4,320.0,571.0,2.62,3.24,True,WideAero,14,15.4,True,0.62,12,5.278,0.56,Q3,albert_park,Ferrari
VER,Red Bull Racing,81.656,2019,23.0,70.1,1016.6,False,38.2,249.0,419.0,6.57,6.88,True,WideAero,14,15.2,True,0.31,4,5.278,0.59,Q3,albert_park,Honda
VER,Red Bull Racing,81.32,2019,23.2,69.4,1016.5,False,37.9,249.0,419.0,6.57,6.88,True,WideAero,14,14.7,False,0.31,4,5.278,0.59,Q3,albert_park,Honda
LEC,Ferrari,81.442,2019,23.1,69.5,1016.7,False,37.8,39.0,571.0,12.48,3.24,True,WideAero,14,14.7,False,-9.24,1,5.278,0.07,Q3,albert_park,Ferrari
LEC,Ferrari,81.498,2019,23.2,68.6,1016.6,False,37.6,39.0,571.0,12.48,3.24,True,WideAero,14,14.4,False,-9.24,1,5.278,0.07,Q3,albert_park,Ferrari
GRO,Haas F1 Team,81.983,2019,23.2,70.8,1016.8,False,36.0,37.0,93.0,10.05,10.29,True,WideAero,14,12.8,True,0.24,8,5.278,0.4,Q3,albert_park,Ferrari
GRO,Haas F1 Team,81.826,2019,23.2,70.1,1016.6,False,35.6,37.0,93.0,10.05,10.29,True,WideAero,14,12.4,True,0.24,8,5.278,0.4,Q3,albert_park,Ferrari
MAG,Haas F1 Team,82.907,2019,23.1,69.8,1016.8,False,35.6,56.0,93.0,10.52,10.29,True,WideAero,14,12.5,False,-0.23,4,5.278,0.6,Q3,albert_park,Ferrari
MAG,Haas F1 Team,82.099,2019,23.2,67.5,1016.8,False,35.2,56.0,93.0,10.52,10.29,True,WideAero,14,12.0,False,-0.23,4,5.278,0.6,Q3,albert_park,Ferrari
NOR,McLaren,83.198,2019,23.0,68.6,1016.8,False,34.5,0.0,62.0,0.0,15.07,True,WideAero,14,11.5,False,0.0,0,5.278,0.0,Q3,albert_park,Renault
NOR,McLaren,82.304,2019,22.9,69.2,1016.8,False,34.3,0.0,62.0,0.0,15.07,True,WideAero,14,11.4,False,0.0,0,5.278,0.0,Q3,albert_park,Renault
RAI,Alfa Romeo Racing,82.314,2019,23.1,69.9,1016.7,False,38.7,251.0,0.0,3.86,0.0,True,WideAero,14,15.6,False,-3.86,16,5.278,0.5,Q3,albert_park,Ferrari
PER,Racing Point,82.781,2019,23.2,69.4,1016.6,False,39.1,62.0,111.0,11.43,10.69,True,WideAero,14,15.9,False,-0.74,8,5.278,0.56,Q3,albert_park,Mercedes
LEC,Ferrari,79.391,2022,23.8,55.0,1017.5,False,31.4,45.0,78.0,1.5,2.25,True,GroundEffect,14,7.6,False,0.75,4,5.278,0.58,Q1,albert_park,Ferrari
VER,Red Bull Racing,79.406,2022,23.7,55.0,1017.5,False,31.1,25.0,37.0,3.0,2.75,True,GroundEffect,14,7.4,False,-0.25,7,5.278,0.68,Q1,albert_park,Honda RBPT
VER,Red Bull Racing,78.925,2022,23.8,54.0,1017.5,False,31.5,25.0,37.0,3.0,2.75,True,GroundEffect,14,7.7,False,-0.25,7,5.278,0.68,Q1,albert_park,Honda RBPT
VER,Red Bull Racing,78.58,2022,23.8,54.0,1017.5,False,31.5,25.0,37.0,3.0,2.75,True,GroundEffect,14,7.7,False,-0.25,7,5.278,0.68,Q1,albert_park,Honda RBPT
PER,Red Bull Racing,79.307,2022,22.9,59.0,1017.4,False,28.9,12.0,37.0,2.5,2.75,True,GroundEffect,14,6.0,False,0.25,11,5.278,0.32,Q1,albert_park,Honda RBPT
PER,Red Bull Racing,79.428,2022,23.0,59.0,1017.4,False,29.0,12.0,37.0,2.5,2.75,True,GroundEffect,14,6.0,False,0.25,11,5.278,0.32,Q1,albert_park,Honda RBPT
PER,Red Bull Racing,78.834,2022,23.2,58.0,1017.2,False,29.0,12.0,37.0,2.5,2.75,True,GroundEffect,14,5.8,False,0.25,11,5.278,0.32,Q1,albert_park,Honda RBPT
NOR,McLaren,79.28,2022,23.3,59.0,1017.2,False,28.4,6.0,6.0,12.0,13.5,True,GroundEffect,14,5.1,False,1.5,3,5.278,1.0,Q1,albert_park,Mercedes
HAM,Mercedes,80.066,2022,23.2,59.0,1017.2,False,28.2,16.0,38.0,10.5,9.0,True,GroundEffect,14,5.0,False,-1.5,15,5.278,0.42,Q1,albert_park,Mercedes
HAM,Mercedes,79.401,2022,23.2,60.0,1017.2,False,28.1,16.0,38.0,10.5,9.0,True,GroundEffect,14,4.9,False,-1.5,15,5.278,0.42,Q1,albert_park,Mercedes
RUS,Mercedes,79.702,2022,23.0,60.0,1017.2,False,28.4,22.0,38.0,7.5,9.0,True,GroundEffect,14,5.4,False,1.5,3,5.278,0.58,Q1,albert_park,Mercedes
RUS,Mercedes,79.405,2022,23.0,60.0,1017.4,False,27.4,22.0,38.0,7.5,9.0,True,GroundEffect,14,4.4,False,1.5,3,5.278,0.58,Q1,albert_park,Mercedes
RIC,McLaren,79.798,2022,22.9,60.0,1017.2,False,27.3,0.0,6.0,15.0,13.5,True,GroundEffect,14,4.4,False,-1.5,11,5.278,0.0,Q1,albert_park,Mercedes
RIC,McLaren,79.665,2022,22.8,61.0,1017.4,False,27.1,0.0,6.0,15.0,13.5,True,GroundEffect,14,4.3,False,-1.5,11,5.278,0.0,Q1,albert_park,Mercedes
RIC,McLaren,79.931,2022,22.8,61.0,1017.2,False,27.2,0.0,6.0,15.0,13.5,True,GroundEffect,14,4.4,False,-1.5,11,5.278,0.0,Q1,albert_park,Mercedes
OCO,Alpine,79.805,2022,22.5,61.0,1017.2,False,26.8,14.0,16.0,8.0,7.75,True,GroundEffect,14,4.3,False,-0.25,6,5.278,0.88,Q1,albert_park,Renault
OCO,Alpine,79.605,2022,22.5,61.0,1017.2,False,26.9,14.0,16.0,8.0,7.75,True,GroundEffect,14,4.4,False,-0.25,6,5.278,0.88,Q1,albert_park,Renault
OCO,Alpine,79.845,2022,22.5,62.0,1017.2,False,26.9,14.0,16.0,8.0,7.75,True,GroundEffect,14,4.4,False,-0.25,6,5.278,0.88,Q1,albert_park,Renault
SAI,Ferrari,79.179,2022,22.5,62.0,1017.2,False,26.9,33.0,78.0,3.0,2.25,True,GroundEffect,14,4.4,False,-0.75,7,5.278,0.42,Q1,albert_park,Ferrari
SAI,Ferrari,78.983,2022,23.8,55.0,1017.5,False,31.3,33.0,78.0,3.0,2.25,True,GroundEffect,14,7.5,False,-0.75,7,5.278,0.42,Q1,albert_park,Ferrari
ALO,Alpine,79.653,2022,23.7,55.0,1017.5,False,31.1,2.0,16.0,7.5,7.75,True,GroundEffect,14,7.4,False,0.25,18,5.278,0.12,Q1,albert_park,Renault
ALO,Alpine,79.192,2022,23.8,54.0,1017.5,False,31.5,2.0,16.0,7.5,7.75,True,GroundEffect,14,7.7,False,0.25,18,5.278,0.12,Q1,albert_park,Renault
GAS,AlphaTauri,81.31,2022,23.8,54.0,1017.5,False,31.3,4.0,8.0,9.5,13.75,True,GroundEffect,14,7.5,False,4.25,5,5.278,0.5,Q1,albert_park,Honda RBPT
GAS,AlphaTauri,79.775,2022,23.9,54.0,1017.5,False,30.8,4.0,8.0,9.5,13.75,True,GroundEffect,14,6.9,False,4.25,5,5.278,0.5,Q1,albert_park,Honda RBPT
GAS,AlphaTauri,79.58,2022,23.8,54.0,1017.5,False,30.7,4.0,8.0,9.5,13.75,True,GroundEffect,14,6.9,False,4.25,5,5.278,0.5,Q1,albert_park,Honda RBPT
BOT,Alfa Romeo,79.641,2022,22.9,59.0,1017.4,False,28.9,8.0,9.0,7.0,10.5,True,GroundEffect,14,6.0,False,3.5,9,5.278,0.89,Q1,albert_park,Ferrari
BOT,Alfa Romeo,79.251,2022,23.0,59.0,1017.4,False,29.0,8.0,9.0,7.0,10.5,True,GroundEffect,14,6.0,False,3.5,9,5.278,0.89,Q1,albert_park,Ferrari
TSU,AlphaTauri,80.6,2022,23.0,58.0,1017.2,False,29.0,4.0,8.0,18.0,13.75,True,GroundEffect,14,6.0,False,-4.25,1,5.278,0.5,Q1,albert_park,Honda RBPT
TSU,AlphaTauri,79.742,2022,23.2,59.0,1017.2,False,29.1,4.0,8.0,18.0,13.75,True,GroundEffect,14,5.9,False,-4.25,1,5.278,0.5,Q1,albert_park,Honda RBPT
ZHO,Alfa Romeo,79.91,2022,23.0,61.0,1017.2,False,28.2,1.0,9.0,14.0,10.5,True,GroundEffect,14,5.2,False,-3.5,0,5.278,0.11,Q1,albert_park,Ferrari
ZHO,Alfa Romeo,80.184,2022,23.0,60.0,1017.2,False,28.4,1.0,9.0,14.0,10.5,True,GroundEffect,14,5.4,False,-3.5,0,5.278,0.11,Q1,albert_park,Ferrari
MSC,Haas F1 Team,81.125,2022,23.0,60.0,1017.4,False,27.4,0.0,12.0,13.0,10.75,True,GroundEffect,14,4.4,False,-2.25,1,5.278,0.0,Q1,albert_park,Ferrari
MSC,Haas F1 Team,80.267,2022,22.9,60.0,1017.2,False,27.3,0.0,12.0,13.0,10.75,True,GroundEffect,14,4.4,False,-2.25,1,5.278,0.0,Q1,albert_park,Ferrari
MSC,Haas F1 Team,80.104,2022,22.9,61.0,1017.2,False,26.9,0.0,12.0,13.0,10.75,True,GroundEffect,14,4.0,False,-2.25,1,5.278,0.0,Q1,albert_park,Ferrari
MSC,Haas F1 Team,80.173,2022,22.5,61.0,1017.2,False,26.9,0.0,12.0,13.0,10.75,True,GroundEffect,14,4.4,False,-2.25,1,5.278,0.0,Q1,albert_park,Ferrari
ALB,Williams,81.152,2022,22.5,62.0,1017.2,False,26.9,0.0,0.0,15.5,17.5,True,GroundEffect,14,4.4,False,2.0,2,5.278,0.5,Q1,albert_park,Mercedes
ALB,Williams,80.178,2022,22.5,62.0,1017.2,False,26.9,0.0,0.0,15.5,17.5,True,GroundEffect,14,4.4,False,2.0,2,5.278,0.5,Q1,albert_park,Mercedes
